Artist,Followers.x,race.x
Adele,17965158,0
Britney Spears,6578314,0
Bruce Springsteen,2576304,0
Bruno Mars,22677758,1
Childish Gambino,5537876,1
Coldplay,22458057,0
Drake,41420478,1
Ed Sheeran,52698756,0
Eminem,30220119,0
John Legend,4709602,1
John Mayer,4128148,0
Justin Timberlake,8365398,0
Kanye West,10455779,1
Keith Urban,3353002,0
Kelly Clarkson,5629156,0
Kendrick Lamar,13325462,1
Lady Gaga,9370435,0
Lil Wayne,8360644,1
Linkin Park,13781152,0
Little Big Town,1553147,0
Mariah Carey,4851294,1
Maroon 5,20445189,0
Miguel,2472516,1
Paramore,4702645,0
Pharrell Williams,2900721,1
Rihanna,34436700,1
Solange,871081,1
Stevie Wonder,3808641,0
Sugarland,1037915,0
Taylor Swift,23709128,0
